student_id,student_name,age,school,notes,subject,grade_level,score
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,1,7.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,2,7.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,3,8.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,4,8.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,5,8.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,6,8.7
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,7,8.9
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,8,9.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,9,9.1
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,10,9.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Math,11,9.3
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,1,7.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,2,7.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,3,7.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,4,7.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,5,8.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,6,8.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,7,8.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,8,8.7
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,9,8.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,10,9.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Physics,11,9.1
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Chemistry,6,7.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Chemistry,7,7.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Chemistry,8,7.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Chemistry,9,7.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Chemistry,10,8.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Chemistry,11,8.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,1,7.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,2,7.3
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,3,7.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,4,7.6
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,5,7.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,6,7.9
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,7,8.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,8,8.1
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,9,8.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,10,8.3
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,English,11,8.4
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,1,6.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,2,7.0
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,3,7.1
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,4,7.2
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,5,7.3
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,6,7.4
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,7,7.5
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,8,7.6
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,9,7.7
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,10,7.8
ST001,John Doe,17,ABC High School,Interested in robotics and programming. Active in science club.,Literature,11,7.9
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,1,6.5
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,2,6.7
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,3,6.8
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,4,7.0
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,5,7.1
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,6,7.2
ST002,Jane Smith,16,XYZ Academy,Loves art and creative writing. Editor of school magazine.,Math,7,7.3
